,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
256,ESRC,Open University,"Faculty of Wellbg, Educ & Lang Sci(WELS)",Studentship,01/10/2017,30/09/2020,0.0,,South East
257,BBSRC,University of Sheffield,Molecular Biology and Biotechnology,Studentship,01/10/2015,30/09/2019,0.0,,Yorkshire and The Humber
258,BBSRC,University of Warwick,School of Life Sciences,Studentship,03/10/2016,30/09/2020,0.0,,West Midlands
259,MRC,University of Dundee,School of Life Sciences,Studentship,05/09/2016,31/08/2020,0.0,,Scotland
260,EPSRC,University of Liverpool,Physics,Studentship,01/12/2018,31/05/2022,0.0,,North West
261,EPSRC,King's College London,Research Grants & Contracts,Training Grant,01/10/2016,30/09/2021,81430.0,,London
262,Innovate UK,Altenergis Plc,,Feasibility Studies,01/09/2017,31/12/2018,169761.0,,London
263,MRC,Imperial College London,Dept of Surgery and Cancer,Studentship,10/10/2016,09/04/2020,0.0,,London
264,STFC,University College London,Physics and Astronomy,Research Grant,01/04/2018,31/03/2021,1308813.0,,London
265,EPSRC,University of Nottingham,School of Medicine,Studentship,01/10/2017,31/03/2021,0.0,,East Midlands
266,Innovate UK,University of Oxford,,BIS-Funded Programmes,01/02/2018,31/01/2022,6125255.0,,South East
267,NERC,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,06/01/2014,06/01/2019,442072.0,,West Midlands
268,EPSRC,Newcastle University,Institute of Neuroscience,Other Grant,01/05/2014,30/04/2021,4980966.0,,North East
269,STFC,Liverpool John Moores University,Astrophysics Research Institute,Studentship,01/10/2015,31/03/2019,0.0,,North West
270,STFC,Liverpool John Moores University,Astrophysics Research Institute,Studentship,01/10/2018,31/03/2022,0.0,,North West
271,MRC,University of Manchester,School of Biological Sciences,Studentship,01/10/2018,31/03/2022,0.0,,North West
272,EPSRC,University of Liverpool,Chemistry,Fellowship,01/01/2018,31/12/2020,627696.0,,North West
273,Innovate UK,Bfb Labs Ltd,,Collaborative R&D,01/03/2018,30/11/2019,325031.0,,London
274,NERC,University of Essex,Biological Sciences,Research Grant,01/01/2017,30/06/2020,622134.0,,East of England
275,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Studentship,24/09/2018,30/09/2021,0.0,,South East
276,BBSRC,Cranfield University,"School of Water, Energy and Environment",Research Grant,01/07/2018,30/06/2021,901298.0,,East of England
277,EPSRC,University of Oxford,Mathematical Institute,Research Grant,01/10/2016,30/09/2019,3000000.0,,South East
278,MRC,Diamond Light Source,Science Division,Research Grant,01/04/2015,28/02/2019,585001.0,,South East
279,EPSRC,University of Strathclyde,Electronic and Electrical Engineering,Research Grant,01/07/2017,31/12/2019,230626.0,,Scotland
280,MRC,University of Oxford,Biochemistry,Studentship,01/10/2018,30/09/2021,0.0,,South East
281,EPSRC,King's College London,Physics,Research Grant,31/03/2015,30/09/2018,340644.0,,London
282,EPSRC,University of Kent,Sch of Engineering & Digital Arts,Research Grant,01/05/2018,30/04/2021,1289915.0,,South East
283,STFC,University of Birmingham,School of Physics and Astronomy,Studentship,01/10/2016,31/03/2020,0.0,,West Midlands
284,ESRC,University College London,Epidemiology and Public Health,Studentship,25/09/2017,30/09/2021,0.0,,London
285,Innovate UK,Emblation Limited,,Collaborative R&D,01/08/2017,31/10/2018,282632.0,,Scotland
286,BBSRC,King's College London,Chemistry,Fellowship,01/03/2016,28/02/2019,300106.0,,London
287,MRC,London Sch of Hygiene and Trop Medicine,Unlisted,Research Grant,01/10/2018,30/09/2022,851864.0,,London
288,EPSRC,University of Cambridge,Materials Science & Metallurgy,Research Grant,16/11/2015,15/03/2020,390057.0,,East of England
289,ESRC,King's College London,Social Genetic and Dev Psychiatry Centre,Research Grant,01/12/2016,30/11/2019,513560.0,,London
290,BBSRC,Aberystwyth University,IBERS,Intramural,01/04/2017,31/03/2020,,665858.0,Wales
291,BBSRC,University College London,Medicine,Studentship,01/10/2016,30/09/2020,0.0,,London
292,Innovate UK,Avanti Communications Limited,,Collaborative R&D,01/12/2015,31/08/2018,2075472.0,,London
293,AHRC,University of Warwick,Politics and International Studies,Research Grant,13/06/2016,31/12/2019,345074.0,,West Midlands
294,BBSRC,University of York,Chemistry,Research Grant,19/10/2015,18/10/2020,400601.0,,Yorkshire and The Humber
295,EPSRC,University of Cambridge,Engineering,Studentship,01/10/2018,30/09/2021,0.0,,East of England
296,ESRC,University College London,Psychology and Human Development,Studentship,01/10/2017,30/09/2020,0.0,,London
297,ESRC,King's College London,Psychology,Research Grant,01/03/2018,31/08/2019,159944.0,,London
298,EPSRC,Northumbria University,Fac of Health and Life Sciences,Research Grant,01/11/2017,31/10/2020,164123.0,,North East
299,MRC,Liverpool School of Tropical Medicine,Parasitology,Studentship,01/10/2018,30/09/2022,0.0,,North West
300,Innovate UK,Far UK Ltd,,Collaborative R&D,01/03/2017,30/09/2019,1409129.0,,East Midlands
301,Innovate UK,Xyz Reality Limited,,Feasibility Studies,01/09/2018,31/08/2019,430652.0,,Unknown
302,MRC,Imperial College London,School of Public Health,Studentship,30/09/2016,31/03/2020,0.0,,London
303,EPSRC,University of Oxford,Computer Science,Studentship,01/10/2017,31/03/2021,0.0,,South East
304,MRC,University of Birmingham,Sch of Biosciences,Research Grant,01/06/2013,30/11/2018,1455452.0,,West Midlands
305,EPSRC,Lancaster University,Mathematics and Statistics,Research Grant,16/04/2018,15/04/2023,2656400.0,,North West
306,EPSRC,University of Birmingham,School of Mathematics,Studentship,01/10/2018,31/03/2022,0.0,,West Midlands
307,EPSRC,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,12/12/2013,11/12/2019,6009330.0,,South East
308,EPSRC,University of Warwick,Physics,Studentship,02/07/2018,01/01/2022,0.0,,West Midlands
309,EPSRC,Lancaster University,Engineering,Research Grant,01/04/2017,30/09/2019,211449.0,,North West
310,BBSRC,University of Warwick,School of Life Sciences,Studentship,05/10/2015,30/09/2019,0.0,,West Midlands
311,EPSRC,University College London,Chemical Engineering,Studentship,01/10/2017,30/09/2021,0.0,,London
312,EPSRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,01/10/2016,30/09/2019,224752.0,,Scotland
313,ESRC,University of Hull,"Geography, Environment and Earth Science",Studentship,22/09/2017,30/09/2021,0.0,,Yorkshire and The Humber
314,MRC,University College London,Institute of Cognitive Neuroscience,Research Grant,16/11/2015,31/03/2019,523801.0,,London
315,NERC,Imperial College London,Life Sciences,Research Grant,01/09/2018,28/02/2022,1311117.0,,London
316,BBSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2015,30/09/2019,0.0,,East Midlands
317,ESRC,Cardiff University,Sch of English Communication and Philos,Studentship,01/10/2018,30/09/2022,0.0,,Wales
318,Innovate UK,Leeds Beckett University,,Knowledge Transfer Partnership,01/07/2017,30/06/2019,80207.0,,Yorkshire and The Humber
319,EPSRC,Imperial College London,Department of Chemical Engineering,Studentship,01/10/2017,31/03/2021,0.0,,London
320,NERC,University of Leicester,"Sch of Geog, Geol & the Environment",Research Grant,20/07/2015,30/11/2018,52315.0,,East Midlands
321,EPSRC,University of Kent,Sch of Computing,Research Grant,21/04/2016,20/04/2019,273996.0,,South East
322,STFC,University of Glasgow,School of Physics and Astronomy,Training Grant,01/10/2015,30/09/2020,1514614.0,,Scotland
323,EPSRC,University of Bristol,Computer Science,Studentship,27/09/2017,26/09/2021,0.0,,South West
324,BBSRC,University of Bath,Biology and Biochemistry,Training Grant,01/10/2018,30/09/2022,99034.0,,South West
325,Innovate UK,B-Hive Innovations Limited,,CRD,01/12/2018,30/11/2020,510688.0,,East Midlands
326,EPSRC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/10/2016,30/09/2019,624706.0,,South West
327,ESRC,King's College London,Geography,Studentship,01/10/2018,30/09/2022,0.0,,London
328,NERC,University of Glasgow,College of Science and Engineering,Fellowship,01/11/2014,31/10/2019,425506.0,,Scotland
329,NERC,University of Essex,Biological Sciences,Studentship,11/01/2016,12/01/2020,0.0,,East of England
330,MRC,University of Edinburgh,Sch of Molecular. Genetics & Pop Health,Studentship,01/09/2018,31/08/2022,0.0,,Scotland
331,EPSRC,University of Southampton,School of Chemistry,Research Grant,01/12/2016,30/11/2019,557184.0,,South East
332,ESRC,University of Sheffield,Politics,Research Grant,01/04/2016,31/03/2019,220347.0,,Yorkshire and The Humber
333,STFC,University of Birmingham,School of Physics and Astronomy,Studentship,24/04/2016,23/11/2019,0.0,,West Midlands
334,BBSRC,University of Leicester,"Neuroscience, Psychology and Behaviour",Studentship,02/10/2017,30/09/2021,0.0,,East Midlands
335,NERC,University of Dundee,Geography and Environmental Science,Research Grant,01/09/2012,31/10/2018,396996.0,,Scotland
336,BBSRC,University of Manchester,School of Medical Sciences,Training Grant,30/09/2015,29/09/2019,94126.0,,North West
337,NERC,University of Exeter,Biosciences,Fellowship,01/06/2018,30/04/2020,211072.0,,South West
338,EPSRC,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,02/01/2018,01/01/2023,980874.0,,South East
339,STFC,Imperial College London,Dept of Physics,Research Grant,01/01/2017,30/06/2020,804194.0,,London
340,AHRC,Aberystwyth University,International Politics,Research Grant,04/04/2017,03/06/2019,35935.0,,Wales
341,EPSRC,University of Sheffield,Infection Immunity & Cardiovasc Disease,Studentship,01/10/2018,31/03/2022,0.0,,Yorkshire and The Humber
342,BBSRC,University of Leeds,Ctr for Plant Sciences,Training Grant,01/10/2014,30/06/2020,188252.0,,Yorkshire and The Humber
343,EPSRC,University of Cambridge,Physics,Studentship,01/10/2015,30/09/2020,0.0,,East of England
344,MRC,University of Dundee,,Intramural,31/03/2018,30/09/2019,,266960.0,Scotland
345,MRC,University of Warwick,Warwick Medical School,Research Grant,01/07/2016,30/06/2019,393260.0,,West Midlands
346,EPSRC,University of York,Electronics,Studentship,01/10/2017,30/09/2020,0.0,,Yorkshire and The Humber
347,AHRC,Newcastle University,School of Arts and Cultures,Research Grant,10/10/2016,31/12/2018,238459.0,,North East
348,EPSRC,University of Edinburgh,Sch of Engineering,Studentship,01/09/2018,28/02/2022,0.0,,Scotland
349,EPSRC,University College London,Biochemical Engineering,Training Grant,01/10/2015,30/09/2022,3709814.0,,London
350,MRC,Imperial College London,Life Sciences,Research Grant,26/01/2018,25/01/2021,392500.0,,London
351,ESRC,University of Birmingham,School of Chemistry,Research Grant,01/03/2018,31/03/2019,50243.0,,West Midlands
352,BBSRC,King's College London,Mathematics,Studentship,04/01/2016,31/12/2019,0.0,,London
353,EPSRC,University of Bristol,Engineering Mathematics,Studentship,03/09/2018,31/03/2022,0.0,,South West
354,BBSRC,University of Sheffield,Geography,Research Grant,01/04/2018,31/03/2021,300000.0,,Yorkshire and The Humber
355,EPSRC,Lancaster University,Chemistry,Research Grant,05/03/2018,03/05/2019,89757.0,,North West
356,EPSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2018,31/03/2022,0.0,,East Midlands
357,EPSRC,Cardiff University,Sch of Psychology,Studentship,01/10/2018,31/03/2022,0.0,,Wales
358,EPSRC,University of Liverpool,Student Administration and Support,Training Grant,01/10/2014,30/09/2019,417144.0,,North West
359,ESRC,London School of Economics & Pol Sci,International Relations,Research Grant,03/01/2017,28/02/2019,151518.0,,London
360,Innovate UK,Project Andiamo Ltd,,Collaborative R&D,01/10/2017,30/09/2019,390095.0,,London
361,NERC,NERC Centre for Ecology and Hydrology,Directors and Science Coordinators,Research Grant,01/04/2018,31/03/2023,22274234.0,,South East
362,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2015,30/09/2019,0.0,,South East
363,AHRC,University of Warwick,History,Research Grant,01/01/2018,31/12/2019,36417.0,,West Midlands
364,MRC,University of Cambridge,Medicine,Research Grant,01/08/2016,31/07/2019,386860.0,,East of England
365,EPSRC,Cardiff University,School of Physics and Astronomy,Studentship,01/10/2018,30/09/2022,0.0,,Wales
366,EPSRC,University of St Andrews,Office of the Principal,Training Grant,01/10/2016,30/09/2021,1747258.0,,Scotland
367,AHRC,London South Bank University,School of Arts and Creative Industries,Research Grant,01/02/2017,31/10/2018,34830.0,,London
368,ESRC,University of Manchester,"Environment, Education and Development",Training Grant,01/04/2011,31/12/2018,301269.0,,North West
369,STFC,University of Sheffield,Physics and Astronomy,Research Grant,01/01/2016,31/12/2019,42205.0,,Yorkshire and The Humber
370,AHRC,University of Brighton,Sch of Humanities,Studentship,01/10/2018,30/09/2021,0.0,,South East
371,MRC,University College London,Experimental Psychology,Studentship,25/09/2017,30/09/2021,0.0,,London
372,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Studentship,25/09/2017,30/09/2020,0.0,,South East
373,BBSRC,Newcastle University,Inst for Cell and Molecular Biosciences,Research Grant,09/06/2018,08/06/2020,551321.0,,North East
374,EPSRC,University of Nottingham,Faculty of Engineering,Studentship,01/10/2017,30/09/2020,0.0,,East Midlands
375,Innovate UK,Magnetic Systems Technology Limited,,Collaborative R&D,01/07/2018,30/06/2020,1729909.0,,Yorkshire and The Humber
376,BBSRC,Cardiff University,School of Biosciences,Fellowship,01/07/2018,30/06/2021,304030.0,,Wales
377,STFC,University College London,Mullard Space Science Laboratory,Fellowship,01/09/2016,31/08/2019,54779.0,,London
378,Innovate UK,Richmond Design & Marketing Limited,,Collaborative R&D,01/07/2018,31/12/2020,2454004.0,,West Midlands
379,Innovate UK,Sheffield Hallam University,,Knowledge Transfer Partnership,01/02/2017,29/02/2020,115089.0,,Yorkshire and The Humber
380,MRC,University of Manchester,School of Biological Sciences,Fellowship,01/09/2013,28/02/2019,664960.0,,North West
381,EPSRC,University of York,Chemistry,Studentship,01/10/2015,30/09/2019,0.0,,Yorkshire and The Humber
382,EPSRC,University of Bristol,Aerospace Engineering,Studentship,18/09/2017,17/09/2021,0.0,,South West
383,ESRC,University of Exeter,Geography,Research Grant,15/09/2016,31/12/2018,282093.0,,South West
384,EPSRC,University of Oxford,Politics and International Relations,Studentship,01/10/2016,30/09/2020,0.0,,South East
385,EPSRC,Brunel University,Research Support and Development Office,Training Grant,01/10/2016,30/09/2021,1404660.0,,London
386,MRC,University of Cambridge,Obstetrics and Gynaecology,Research Grant,01/01/2014,31/12/2018,1583174.0,,East of England
387,MRC,University of Cambridge,Clinical Neurosciences,Research Grant,01/03/2018,28/02/2021,354583.0,,East of England
388,EPSRC,University of Glasgow,School of Engineering,Studentship,01/10/2018,31/03/2022,0.0,,Scotland
389,MRC,Liverpool School of Tropical Medicine,,Intramural,01/03/2017,28/02/2019,,549000.0,North West
390,AHRC,Manchester Metropolitan University,Media,Studentship,01/10/2018,30/03/2022,0.0,,North West
391,ESRC,University of Southampton,School of Geography,Studentship,27/09/2018,30/09/2022,0.0,,South East
392,BBSRC,University of Manchester,School of Biological Sciences,Studentship,01/10/2015,30/09/2019,0.0,,North West
393,BBSRC,Royal Veterinary College,Pathology and Pathogen Biology,Research Grant,30/12/2016,29/06/2020,400104.0,,London
394,EPSRC,Imperial College London,Dept of Mathematics,Studentship,01/10/2017,31/03/2021,0.0,,London
395,NERC,University of Glasgow,School of Engineering,Research Grant,01/12/2018,30/11/2020,83395.0,,Scotland
396,EPSRC,University of Cambridge,Pure Maths and Mathematical Statistics,Studentship,01/10/2018,30/09/2021,0.0,,East of England
397,ESRC,London School of Economics & Pol Sci,Centre for Economic Performance,Fellowship,01/04/2018,31/03/2021,342454.0,,London
398,EPSRC,University of Southampton,Electronics and Computer Science,Studentship,01/10/2017,30/09/2020,0.0,,South East
399,MRC,University College London,Institute of Health Informatics,Fellowship,14/02/2018,13/02/2021,313016.0,,London
400,Innovate UK,BioMoti Limited,,Collaborative R&D,01/08/2017,31/07/2019,662222.0,,London
401,EPSRC,University of Birmingham,Chemical Engineering,Studentship,04/09/2017,04/09/2020,0.0,,West Midlands
402,EPSRC,Imperial College London,Design Engineering,Studentship,30/09/2017,29/09/2020,0.0,,London
403,BBSRC,National Inst of Agricultural Botany,Centre for Research,Research Grant,01/10/2016,31/12/2019,183094.0,,East of England
404,BBSRC,University of Liverpool,Institute of Translational Medicine,Studentship,01/10/2018,30/09/2022,0.0,,North West
405,MRC,University College London,Medicine,Research Grant,01/07/2018,30/06/2021,1079228.0,,London
406,NERC,University of St Andrews,Earth and Environmental Sciences,Research Grant,01/06/2017,04/09/2020,427620.0,,Scotland
